0	1	date
-71.132947	42.380442	12/8/2016
-74.04514	40.84121	12/8/2016
-74.018244	40.68863	12/8/2016
-69.617809	44.554321	12/9/2016
-81.365039	28.666625	12/9/2016
-122.989975	38.463088	12/9/2016
-79.749491	40.500346	12/10/2016
-118.012225	33.846302	12/10/2016
-94.630384	39.103053	12/11/2016
-70.523709	41.685053	12/12/2016
-98.38343	38.498546	12/12/2016
-80.038113	26.600995	12/12/2016
-75.469236	40.602658	12/12/2016
-76.951498	39.212456	12/14/2016
-75.11787	40.001811	12/14/2016
-117.769442	33.640302	12/14/2016
-71.816767	42.583689	12/14/2016
-118.248405	33.973951	12/16/2016
-73.64068	40.74927	12/17/2016
-82.537169	27.335023	12/17/2016
-73.515819	40.7228	12/21/2016
-122.149915	37.444122	12/21/2016
-71.3495	42.28343	12/22/2016
-73.934502	40.744622	12/24/2016
-71.078494	42.240598	12/24/2016
-73.555742	41.276199	12/27/2016
-74.642649	40.573802	12/27/2016
-77.300333	37.43752	12/29/2016
-111.878217	33.324113	12/30/2016
-73.934502	40.744622	1/1/2017
-74.256518	42.761186	1/1/2017
-105.103179	40.164837	1/2/2017
-84.53822	39.166759	1/2/2017
-73.747376	40.620492	1/2/2017
-95.208909	39.023294	1/7/2017
-104.680631	40.384991	1/8/2017
-84.661623	39.989494	1/10/2017
-83.569359	41.720684	1/10/2017
-80.153935	25.846208	1/11/2017
-87.81395	41.89781	1/11/2017
-74.114616	40.606381	1/11/2017
-76.623489	39.296536	1/14/2017
-122.29673	37.860576	1/17/2017
-77.963628	34.271985	1/17/2017
-73.612074	41.269896	1/19/2017
-77.016719	38.911936	1/19/2017
-118.248405	33.973951	1/20/2017
-84.53822	39.166759	1/21/2017
-121.555406	38.380456	1/21/2017
-87.881232	43.387702	1/22/2017
-87.838815	42.120176	1/23/2017
-74.693953	40.343625	1/23/2017
-122.690794	45.507856	1/24/2017
-76.623489	39.296536	1/25/2017
-76.623489	39.296536	1/25/2017
-76.623489	39.296536	1/25/2017
-76.623489	39.296536	1/25/2017
-81.899669	28.035908	1/25/2017
-87.62213	41.88531	1/25/2017
-76.623489	39.296536	1/25/2017
-82.324515	29.648993	1/26/2017
-122.149915	37.444122	1/26/2017
-71.105733	42.118416	1/27/2017
-82.324515	29.648993	1/27/2017
-81.605846	28.541579	1/27/2017
-95.518421	29.497227	1/29/2017
-73.539911	40.789722	1/29/2017
-87.831165	42.129468	1/30/2017
-83.319558	43.121459	1/30/2017
-84.61645	38.037847	1/30/2017
-115.10647	36.17372	1/30/2017
-73.755133	40.605382	2/1/2017
-76.623489	39.296536	2/1/2017
-117.170912	32.724103	2/1/2017
-87.729928	42.035259	2/1/2017
-111.94265	33.53115	2/2/2017
-71.188149	42.353696	2/2/2017
-74.444395	40.486754	2/2/2017
-87.62213	41.88531	2/3/2017
-74.03431	40.40789	2/3/2017
-95.309789	29.813142	2/3/2017
-77.483689	38.295135	2/4/2017
-115.10647	36.17372	2/4/2017
-74.018244	40.68863	2/4/2017
-123.080181	44.067988	2/4/2017
-121.916718	37.832075	2/4/2017
-87.62213	41.88531	2/4/2017
-119.1343	34.032383	2/5/2017
-93.269097	44.984577	2/7/2017
-72.927507	41.365709	2/7/2017
-86.778098	36.165688	2/7/2017
-93.269097	44.984577	2/8/2017
-106.829354	40.486391	2/8/2017
-95.383966	30.062169	2/8/2017
-73.612074	41.269896	2/8/2017
-74.346764	40.652851	2/8/2017
-73.945032	40.645099	2/9/2017
-74.058015	42.833261	2/10/2017
-118.766918	34.184975	2/11/2017
-73.945032	40.645099	2/12/2017
-118.248405	33.973951	2/12/2017
-118.248405	33.973951	2/12/2017
-80.10717	26.375954	2/12/2017
-122.149915	37.444122	2/12/2017
-71.199238	42.220548	2/15/2017
-81.340639	28.705924	2/15/2017
-121.803388	47.432251	2/15/2017
-80.10717	26.375954	2/16/2017
-71.414451	41.82275	2/16/2017
-86.304922	36.156231	2/17/2017
-83.353697	33.992902	2/17/2017
-77.45983	40.070789	2/17/2017
-122.417481	37.776646	2/17/2017
-93.269097	44.984577	2/17/2017
-74.018244	40.68863	2/18/2017
-77.684264	43.286024	2/18/2017
-115.10647	36.17372	2/20/2017
-93.653336	44.810062	2/21/2017
-77.33294	39.443551	2/21/2017
-121.803388	47.432251	2/22/2017
-121.982721	37.565285	2/23/2017
-74.506256	40.77165	2/23/2017
-118.39952	33.86224	2/24/2017
-71.414451	41.82275	2/24/2017
-78.046093	38.219183	2/24/2017
-84.53822	39.166759	2/24/2017
-78.704437	42.742541	2/24/2017
-120.622958	43.971713	2/24/2017
-74.712018	40.280531	2/25/2017
-120.343863	37.96091	2/26/2017
-71.320395	41.742501	2/26/2017
-80.458168	25.558428	2/26/2017
